pair_id,condition,task_id,domain,score_base,score_manipulated,delta,abs_delta,direction_is_positive,base_chars,manip_chars,delta_chars,base_tokens,manip_tokens,delta_tokens
pair_19_context,context,task_entropy_thermodynamics,statistical_physics,1.9293434996223167,1.3058111960104282,-0.6235323036118885,0.6235323036118885,False,159,282,123,24,40,16
pair_20_persona,persona,task_mycorrhizal_networks,forest_ecology,-0.32132423723603243,-0.7315354915104968,-0.41021125427446437,0.41021125427446437,False,227,220,-7,30,29,-1
pair_20_length,length,task_mycorrhizal_networks,forest_ecology,1.797036843698629,0.03475310993407593,-1.7622837337645532,1.7622837337645532,False,61,331,270,9,40,31
pair_20_format,format,task_mycorrhizal_networks,forest_ecology,0.8637934852466561,0.03372297088665377,-0.8300705143600023,0.8300705143600023,False,164,207,43,23,27,4
pair_20_lexical,lexical,task_mycorrhizal_networks,forest_ecology,0.8637934852466561,0.6028460156856494,-0.2609474695610067,0.2609474695610067,False,164,179,15,23,20,-3
pair_20_context,context,task_mycorrhizal_networks,forest_ecology,0.8637934852466561,0.1228634991968437,-0.7409299860498124,0.7409299860498124,False,164,280,116,23,39,16
pair_21_persona,persona,task_haber_bosch_process,chemical_engineering,0.4664047961815363,-0.08339021639543909,-0.5497950125769754,0.5497950125769754,False,236,226,-10,29,28,-1
pair_21_length,length,task_haber_bosch_process,chemical_engineering,1.467497589152114,0.7088320752530118,-0.7586655138991022,0.7586655138991022,False,64,337,273,10,43,33
pair_21_format,format,task_haber_bosch_process,chemical_engineering,1.3177396646713553,0.19990149139137559,-1.1178381732799796,1.1178381732799796,False,163,191,28,22,26,4
pair_21_lexical,lexical,task_haber_bosch_process,chemical_engineering,1.317739664671357,0.7046832373227814,-0.6130564273485757,0.6130564273485757,False,163,176,13,22,22,0
pair_21_context,context,task_haber_bosch_process,chemical_engineering,1.317801924486266,0.809772331722826,-0.50802959276344,0.50802959276344,False,163,277,114,22,37,15
pair_22_persona,persona,task_caldera_collapse,volcanology,-0.8914927037108792,-1.4972057304706339,-0.6057130267597547,0.6057130267597547,False,215,210,-5,28,29,1
pair_22_length,length,task_caldera_collapse,volcanology,1.170498053003108,-0.3415521684276786,-1.5120502214307865,1.5120502214307865,False,62,320,258,11,40,29
